Interface,Datetime,Value,Lon0,Lat0,Lon1,Lat1
B_C,1/3/2030 15:00,-62.45,153,-27,151,-34
B_C,1/3/2030 16:00,-14.48,153,-27,151,-34
B_C,1/3/2030 17:00,-9.9,153,-27,151,-34
B_C,1/3/2030 18:00,836.65,153,-27,151,-34
B_C,1/3/2030 19:00,1051.76,153,-27,151,-34
B_C,1/3/2030 20:00,438.33,153,-27,151,-34
B_C,1/3/2030 21:00,33.37,153,-27,151,-34
B_C,1/3/2030 22:00,-240.66,153,-27,151,-34
B_C,1/3/2030 23:00,-467.87,153,-27,151,-34
B_C,1/4/2030 0:00,-180.17,153,-27,151,-34
B_C,1/4/2030 1:00,-133.24,153,-27,151,-34
B_C,1/4/2030 2:00,-558.66,153,-27,151,-34
B_C,1/4/2030 3:00,-548.81,153,-27,151,-34
B_C,1/4/2030 4:00,-408.11,153,-27,151,-34
B_C,1/4/2030 5:00,-247.41,153,-27,151,-34
B_C,1/4/2030 6:00,1014.21,153,-27,151,-34
B_C,1/4/2030 7:00,2133.71,153,-27,151,-34
B_C,1/4/2030 8:00,3726.7,153,-27,151,-34
B_C,1/4/2030 9:00,2387.85,153,-27,151,-34
B_C,1/4/2030 10:00,1816.9,153,-27,151,-34
B_C,1/4/2030 11:00,1222.45,153,-27,151,-34
B_C,1/4/2030 12:00,1806.68,153,-27,151,-34
B_C,1/4/2030 13:00,1812.95,153,-27,151,-34
B_C,1/4/2030 14:00,2312.88,153,-27,151,-34
B_C,1/4/2030 15:00,2847.44,153,-27,151,-34
B_C,1/4/2030 16:00,3510.43,153,-27,151,-34
B_C,1/4/2030 17:00,3131.84,153,-27,151,-34
B_C,1/4/2030 18:00,3461.93,153,-27,151,-34
B_C,1/4/2030 19:00,2858.11,153,-27,151,-34
B_C,1/4/2030 20:00,2230.44,153,-27,151,-34
B_C,1/4/2030 21:00,1808.28,153,-27,151,-34
B_C,1/4/2030 22:00,1448.96,153,-27,151,-34
B_C,1/4/2030 23:00,753.97,153,-27,151,-34
B_C,1/5/2030 0:00,398.31,153,-27,151,-34
B_C,1/5/2030 1:00,-58.57,153,-27,151,-34
B_C,1/5/2030 2:00,-71.34,153,-27,151,-34
B_C,1/5/2030 3:00,-358.88,153,-27,151,-34
B_C,1/5/2030 4:00,-178.32,153,-27,151,-34
B_C,1/5/2030 5:00,-528.21,153,-27,151,-34
B_C,1/5/2030 6:00,363.58,153,-27,151,-34
B_C,1/5/2030 7:00,1400.22,153,-27,151,-34
B_C,1/5/2030 8:00,3080.6,153,-27,151,-34
B_C,1/5/2030 9:00,1454.78,153,-27,151,-34
B_C,1/5/2030 10:00,1521.52,153,-27,151,-34
B_C,1/5/2030 11:00,1364.94,153,-27,151,-34
B_C,1/5/2030 12:00,1691.87,153,-27,151,-34
B_C,1/5/2030 13:00,2148.31,153,-27,151,-34
B_C,1/5/2030 14:00,1659.9,153,-27,151,-34
B_C,1/5/2030 15:00,2215.01,153,-27,151,-34
B_C,1/5/2030 16:00,2441.61,153,-27,151,-34
B_C,1/5/2030 17:00,3085.06,153,-27,151,-34
B_C,1/5/2030 18:00,2904.82,153,-27,151,-34
B_C,1/5/2030 19:00,2472.7,153,-27,151,-34
B_C,1/5/2030 20:00,1988.74,153,-27,151,-34
B_C,1/5/2030 21:00,1240.82,153,-27,151,-34
B_C,1/5/2030 22:00,643.5,153,-27,151,-34
B_C,1/5/2030 23:00,504.68,153,-27,151,-34
B_C,1/6/2030 0:00,202.87,153,-27,151,-34
B_C,1/6/2030 1:00,-196.32,153,-27,151,-34
B_C,1/6/2030 2:00,174.15,153,-27,151,-34
B_C,1/6/2030 3:00,142.09,153,-27,151,-34
B_C,1/6/2030 4:00,158.1,153,-27,151,-34
B_C,1/6/2030 5:00,95.39,153,-27,151,-34
B_C,1/6/2030 6:00,1228.82,153,-27,151,-34
B_C,1/6/2030 7:00,2059.04,153,-27,151,-34
B_C,1/6/2030 8:00,3065.82,153,-27,151,-34
B_C,1/6/2030 9:00,2629.93,153,-27,151,-34
B_C,1/6/2030 10:00,2697.6,153,-27,151,-34
B_C,1/6/2030 11:00,2569.84,153,-27,151,-34
B_C,1/6/2030 12:00,3782.83,153,-27,151,-34
B_C,1/6/2030 13:00,5407,153,-27,151,-34
B_C,1/6/2030 14:00,5407,153,-27,151,-34
B_C,1/6/2030 15:00,5407,153,-27,151,-34
B_C,1/6/2030 16:00,5407,153,-27,151,-34
B_C,1/6/2030 17:00,4680.74,153,-27,151,-34
B_C,1/6/2030 18:00,5334.96,153,-27,151,-34
B_C,1/6/2030 19:00,5407,153,-27,151,-34
B_C,1/6/2030 20:00,5407,153,-27,151,-34
B_C,1/6/2030 21:00,5306.31,153,-27,151,-34
B_C,1/6/2030 22:00,4421.5,153,-27,151,-34
B_C,1/6/2030 23:00,3779.01,153,-27,151,-34
B_C,1/7/2030 0:00,3147.19,153,-27,151,-34
B_C,1/7/2030 1:00,2482.48,153,-27,151,-34
B_C,1/7/2030 2:00,2140.65,153,-27,151,-34
B_C,1/7/2030 3:00,1929.48,153,-27,151,-34
B_C,1/7/2030 4:00,1693.67,153,-27,151,-34
B_C,1/7/2030 5:00,1630.6,153,-27,151,-34
B_C,1/7/2030 6:00,1500,153,-27,151,-34
B_C,1/7/2030 7:00,2750.5,153,-27,151,-34
B_C,1/7/2030 8:00,4891.3,153,-27,151,-34
B_C,1/7/2030 9:00,3441.82,153,-27,151,-34
B_C,1/7/2030 10:00,3390.42,153,-27,151,-34
B_C,1/7/2030 11:00,2808.53,153,-27,151,-34
B_C,1/7/2030 12:00,3165.62,153,-27,151,-34
B_C,1/7/2030 13:00,4069.23,153,-27,151,-34
B_C,1/7/2030 14:00,5149.21,153,-27,151,-34
B_C,1/7/2030 15:00,5218.74,153,-27,151,-34
B_C,1/7/2030 16:00,4549.84,153,-27,151,-34
B_C,1/7/2030 17:00,4533.33,153,-27,151,-34
B_C,1/7/2030 18:00,4924.84,153,-27,151,-34
B_C,1/7/2030 19:00,4804.17,153,-27,151,-34
B_C,1/7/2030 20:00,4350.61,153,-27,151,-34
B_C,1/7/2030 21:00,3406.03,153,-27,151,-34
B_C,1/7/2030 22:00,2899.33,153,-27,151,-34
B_C,1/7/2030 23:00,2374.34,153,-27,151,-34
C_A,1/1/2030 0:00,640.39,151,-34,130,-12
C_A,1/1/2030 1:00,667.4,151,-34,130,-12
C_A,1/1/2030 2:00,400.12,151,-34,130,-12
C_A,1/1/2030 3:00,404.46,151,-34,130,-12
C_A,1/1/2030 4:00,415.59,151,-34,130,-12
C_A,1/1/2030 5:00,305.43,151,-34,130,-12
C_A,1/1/2030 6:00,690.47,151,-34,130,-12
C_A,1/1/2030 7:00,813.14,151,-34,130,-12
C_A,1/1/2030 8:00,1064.29,151,-34,130,-12
C_A,1/1/2030 9:00,719.34,151,-34,130,-12
C_A,1/1/2030 10:00,693.42,151,-34,130,-12
C_A,1/1/2030 11:00,788.17,151,-34,130,-12
